title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,R0253160,画像情報処理,奥村　浩,3年,専門科目(A1),後期,木３
2025年度,理工学部,R0253165,音声情報処理,福田　修,3年,専門科目(A1),後期,火２
2025年度,理工学部,R0253170,実践データサイエンス,皆本　晃弥,3年,専門科目(A1),後期,火３
2025年度,理工学部,R0253180,卒業研究準備演習,廣友　雅徳　他,3年,専門科目(A1),後期,時間割外
2025年度,理工学部,R0253250,情報ネットワーク,花田　英輔,3年,専門科目(A1),前期,火３
2025年度,理工学部,R0253255,情報ネットワーク実験,花田　英輔,3年,専門科目(A1),前期,火４、火５
2025年度,理工学部,R0253260,ソフトウェア工学,掛下　哲郎,2年,専門科目(A1),後期,月３
2025年度,理工学部,R0253265,ソフトウェア協同開発実験,大月　美佳,3年,専門科目(A1),後期,月４、月５
2025年度,理工学部,R0253270,ネットワークシステム,大谷　誠,3年,専門科目(A1),後期,金１
2025年度,理工学部,R0253280,データサイエンス演習,皆本　晃弥,3年,専門科目(A1),後期,火４、火５
